loss = 0.008280675351172849,	 val loss = 0.007763059291782342
loss = 0.008231153570980315,	 val loss = 0.007184257382672028
loss = 0.008212402894388215,	 val loss = 0.007344475507971896
loss = 0.008256530182198513,	 val loss = 0.008100817986075825
loss = 0.008223111482875828,	 val loss = 0.007894550743337907
loss = 0.008210009813831399,	 val loss = 0.00729393591220404
loss = 0.008181576235349998,	 val loss = 0.007409014714957373
loss = 0.0082095717987432,	 val loss = 0.007789349150318524
loss = 0.00832257258690521,	 val loss = 0.007824839106066132
loss = 0.008258046397573174,	 val loss = 0.007063964055443567
loss = 0.00825233562080865,	 val loss = 0.007833365572553848
loss = 0.008184394452376322,	 val loss = 0.008432901222977523
loss = 0.008203483133676356,	 val loss = 0.008443014465992715
loss = 0.008203050927239197,	 val loss = 0.007788531532281661
loss = 0.008189214617040254,	 val loss = 0.008534676736872346
loss = 0.00819463709822365,	 val loss = 0.007333164637601614
loss = 0.008204383183437736,	 val loss = 0.008771643094961881
loss = 0.008220157209942435,	 val loss = 0.00721092204426778
loss = 0.008301937548585232,	 val loss = 0.008112847841707382
loss = 0.008248098752898237,	 val loss = 0.00774776467331962
loss = 0.008252009142349467,	 val loss = 0.00828118895470864
loss = 0.008193977731462795,	 val loss = 0.007419841096797266
loss = 0.008248145050663142,	 val loss = 0.008571194210010862
loss = 0.008228790937243421,	 val loss = 0.008019044216251806
loss = 0.008232030035525488,	 val loss = 0.0075014493929329166
loss = 0.008214798919588626,	 val loss = 0.007644845893341228
loss = 0.008163153255821022,	 val loss = 0.007615995717988058
loss = 0.008196276287232565,	 val loss = 0.007585635680675127
loss = 0.008173602229842949,	 val loss = 0.008225765862366117
loss = 0.008232241106350744,	 val loss = 0.007733582272736856
loss = 0.008230431839996477,	 val loss = 0.007428549567532806
loss = 0.008182384829971584,	 val loss = 0.008691728095892245
loss = 0.008191297269219841,	 val loss = 0.00735368387367305
loss = 0.008182257319243127,	 val loss = 0.00737815325597504
loss = 0.00816463584641259,	 val loss = 0.007095772583119583
loss = 0.00821271800422962,	 val loss = 0.00812802491868425
loss = 0.008206418303105865,	 val loss = 0.006837704979136589
loss = 0.008187210191143096,	 val loss = 0.007556256593758083
loss = 0.008150135222669259,	 val loss = 0.008475803455449522
loss = 0.008174006772781042,	 val loss = 0.007493283629122605
loss = 0.008282085856583427,	 val loss = 0.007373566365501925
loss = 0.008260449301432006,	 val loss = 0.008135972610388969
loss = 0.008204043516838531,	 val loss = 0.007524117179953064
loss = 0.008235298167862382,	 val loss = 0.007068369515392249
loss = 0.00841887995416768,	 val loss = 0.008131220051934417
loss = 0.008265193071207568,	 val loss = 0.008624030391518708
loss = 0.008212125919950578,	 val loss = 0.008221006008903877
loss = 0.008233919535423389,	 val loss = 0.007322267076860689
loss = 0.008206923270316902,	 val loss = 0.007700156983686789
loss = 0.008226611787661,	 val loss = 0.008259716416889936
loss = 0.008261442505194628,	 val loss = 0.008399008751840405
loss = 0.008218249221885464,	 val loss = 0.006870679325744063
loss = 0.008202233015740539,	 val loss = 0.007458376026076576
loss = 0.008151753178651596,	 val loss = 0.007488923178313443
loss = 0.008220238975631804,	 val loss = 0.008698836212389411
loss = 0.008183115872901076,	 val loss = 0.007700398011286094
loss = 0.008196425192721494,	 val loss = 0.0077390302625144035
loss = 0.008198385212049759,	 val loss = 0.007062104694274541
loss = 0.008310587832581436,	 val loss = 0.007420738818634675
loss = 0.008285659071231558,	 val loss = 0.007473623940957054
loss = 0.008208337302585248,	 val loss = 0.00794839440371397
loss = 0.008184385027901381,	 val loss = 0.00752800219332566
loss = 0.00819392166659414,	 val loss = 0.007639379908042148
loss = 0.008210566097526548,	 val loss = 0.007178681184914773
loss = 0.008177263768476172,	 val loss = 0.008162978044768154
loss = 0.008277297591130363,	 val loss = 0.0077696428158839995
loss = 0.008203677860578344,	 val loss = 0.007770219620343133
loss = 0.008174284522555062,	 val loss = 0.007889301774333194
loss = 0.008193311066899727,	 val loss = 0.007614703970267466
loss = 0.00819338615203491,	 val loss = 0.007467228507534869
loss = 0.008138237666971021,	 val loss = 0.008133405337997853
loss = 0.008186268175526635,	 val loss = 0.007896750259371256
loss = 0.00819749521765862,	 val loss = 0.007500852749466446
loss = 0.008200953995401833,	 val loss = 0.009309578600472608
loss = 0.008181156819082719,	 val loss = 0.007930991633487981
loss = 0.00819291562264736,	 val loss = 0.007860900058253762
loss = 0.008213123482891771,	 val loss = 0.0074128627207680625
loss = 0.00813318535626576,	 val loss = 0.007346475095191771
loss = 0.008193827928418745,	 val loss = 0.007693875425685383
loss = 0.00814557131322823,	 val loss = 0.009007831103134427
loss = 0.008164241124614044,	 val loss = 0.007293703248591517
loss = 0.008178818412282017,	 val loss = 0.00801833720359202
loss = 0.008232257037051337,	 val loss = 0.007792663798375947
loss = 0.008325829427394285,	 val loss = 0.0077787013597395704
loss = 0.008246707121361082,	 val loss = 0.00693074140629917
loss = 0.00825678347449623,	 val loss = 0.009499561836423184
loss = 0.008255043020059135,	 val loss = 0.007081466647500682
loss = 0.00821602019342006,	 val loss = 0.00731701257222621
loss = 0.008192414270899383,	 val loss = 0.00804999429210248
loss = 0.008186415921026464,	 val loss = 0.007239493216591033
loss = 0.008200068124511831,	 val loss = 0.007425330577482621
